,name,kindof,dry,oily,mix,normal,sensitive,ance_adult,ance_child,redness,pores,blackhead,freckles,clarity,price,url,,,,,,
,ルナメアAC,wash,87,0,88,0,65,96,0,0,82,0,0,0,2310,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00ORDOC0K&linkId=381d3c7b5c6c5ccd686ae718a9e39fe0&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ロゼット(青),wash,89,0,86,0,89,95,0,0,85,0,0,0,825,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07J2X4N5G&linkId=6369dd96d18cb7b7c5fdfaa2db384520&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ORBIS,wash,86,0,85,0,88,93,0,0,80,0,0,0,1430,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00V82YCZI&linkId=41714ad9b569cb62afd4f84306a1f734&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ラロッシュポゼ,wash,0,89,0,65,0,0,89,0,88,0,0,0,2750,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00150GP3U&linkId=ea67371d7331774f424e830ddc5a6a50&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,Dove,wash,0,88,0,0,0,0,93,0,89,0,0,0,484,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07NVFFC3B&linkId=3eaf96303a7ab0b174607a497d2dc4ff&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,FANCL 酵素洗顔,wash,85,71,0,88,0,0,70,0,86,66,0,0,1980,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07VYND937&linkId=60c7cbf3c9ac48341b71cccb21bfae71&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,skinvii パウダー,wash,75,0,0,0,0,62,60,80,72,77,0,0,1000,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B084Q1X27Z&linkId=0e77793b74bb4ca23b18a4e7b8025fc9&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ロゼッタ(緑),wash,88,0,89,0,77,90,0,0,90,0,0,0,825,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07JV9S421&linkId=cee1f61906c5fd056bfff933c0d60be2&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,なめらか本舗 しっとり,wash,83,0,0,87,0,0,0,0,74,0,0,0,473,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B01MY72AGX&linkId=755ae3f083f29511c6058167233f0665&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,Curel 泡洗顔,wash,97,0,0,0,91,0,0,0,0,0,0,0,1320,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B0096HZBGG&linkId=eff5eebdffc377b1103a5ccd6cbae056&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ロゼット(桃),wash,95,0,0,0,92,0,0,0,0,0,0,0,825,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07J2QQXX7&linkId=ce5cce170b2a7eafd7e133f2d98cf51f&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ロゼット(無添加※),wash,60,0,0,92,0,0,0,0,80,0,0,0,825,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B014VYKI5W&linkId=cfde842a5b0b2d79caee825b9121432d&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,innisfree グリーン,wash,62,0,0,83,0,0,0,0,0,0,0,0,1262,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07NS4D8TK&linkId=00076ec8096976fa0104ce38553a24b6&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,NIVEA,wash,63,0,0,81,0,0,0,0,0,0,0,0,495,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07B14CR4W&linkId=0da24f4c53a2c11340101042679462d8&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,IHADA,tone,82,0,0,0,82,0,0,0,0,0,0,0,1650,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B079SW92KN&linkId=97127d93f29b621a9a1ae7b2c68d2c26&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ハトムギ,tone,68,0,0,70,0,0,0,0,0,0,0,0,610,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B000FQP2YS&linkId=99975dc810e029486df918e524ec1e3c&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ニキビケア,tone,72,0,72,0,72,74,95,0,0,0,0,0,2080,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B075L51189&linkId=5d8b617bcb4d8375ddbb145a6cf3507b&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ORBIS,tone,81,0,74,80,60,96,0,0,0,0,0,0,1650,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00V8330JQ&linkId=d55416e8b9107176497563a540c451f1&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,EVTOS(薬用),tone,78,0,88,0,77,95,0,0,0,0,92,70,4180,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B0143X3I6C&linkId=6520f2865457608c3050121a94bd58f8&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,メラノCC,tone,76,0,0,65,74,0,0,0,0,0,90,71,793,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07GCG4MF1&linkId=0575d2258698d83e80795b007ed5339d&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,Curel,tone,65,88,0,0,65,0,0,0,0,0,0,0,1830,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B007MWYUXM&linkId=1d57eaf5839f3bdf0fe8563c3947956d&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,innisfree(グリーン),tone,0,78,0,79,0,0,0,0,0,0,0,0,2090,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07Q2ZQSHX&linkId=7a4d84a5c4bd7ce5b8754aa646df8cb5&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,EVTOS(敏感肌用),tone,80,0,0,0,90,0,0,0,0,0,0,0,3520,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B01MY7Z21V&linkId=cdf848919ad99a928f44d378ec2738ac&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,do natural,tone,0,0,0,0,0,0,0,0,0,0,0,0,100000,,,,,,,
,MK ローション,tone,0,0,0,0,0,0,0,0,0,0,0,0,100000,,,,,,,
,どくだみ化粧水,tone,68,0,0,71,0,0,0,0,0,0,0,0,425,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B0058LX8SW&linkId=bde81c95ce28b9d930f9a4a04f185ee1&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,アベンヌウォータ,tone,60,0,0,77,81,0,0,0,0,0,0,0,1440,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B000UF2YUY&linkId=81faa5691fd673b91f237dfd40b3baa6&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,BULK HOMME,tone,83,0,0,82,0,0,0,0,0,0,0,0,3300,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00O2PJGZY&linkId=4eab11b4b4b636f71739457a03e6e185&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,なめらか本舗 乳液,lotion,60,45,40,70,0,0,0,0,0,0,0,0,880,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B01N0RK7WC&linkId=d41b872a3eea07b55577d3f446fd70d1&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,Curel,lotion,72,0,50,0,75,0,0,0,0,0,0,0,1980,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B001JF7Z2Q&linkId=ce89833b54956d403122c90033a2e442&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,IHADA,lotion,74,0,0,0,76,0,0,0,0,0,0,0,1760,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B079SW3M3Y&linkId=41cb854e7bf3c504c4f3ba52e92a5816&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,MINON(薬用),lotion,73,50,73,0,74,0,0,0,0,0,0,0,2018,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07N3P5VX4&linkId=a29816839d84971c72cd1a5fee3ec03a&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,MINON,lotion,71,0,45,0,73,0,0,0,0,0,0,0,2000,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00SAS17I8&linkId=305afea912f29e161276dbea2bd93cbc&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,skinvii,lotion,65,0,0,64,0,0,0,0,0,0,0,0,2200,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07581X18V&linkId=3ffefe667c0613943f1df6c71845b93e&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,極潤,lotion,69,0,0,66,70,0,0,0,0,0,0,0,651,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00XXCD9FA&linkId=dbe34fabec7e71ad602c24a358d91971&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,innisfree(グリーン),lotion,68,0,0,65,0,0,0,0,0,0,0,0,1690,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07NS4CKP2&linkId=8d9ca586000bcd9c532a10383b4bb59e&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ハトムギ ジェル,lotion,70,0,0,69,0,0,0,0,0,0,0,0,771,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B01BSJ5ZSI&linkId=d2477c4549ef461917987948d76c2a62&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,NIVEA MEN,lotion,67,0,0,67,0,0,0,0,0,0,81,68,970,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B000FQMVLK&linkId=e38a99e87e25cbfa95f71cd5c7255e91&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
